"Notes"	"Cause of death"	"Cause of death Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	93	10053779	0.9
	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	93	10005715	0.9
	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	97	9946279	1.0
	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	158	9587365	1.6
	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	144	9637462	1.5
	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	144	9488430	1.5
	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	161	9447846	1.7
	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	156	9390497	1.7
	"Adult T-cell leukaemia - Malignant neoplasms"	"C91.5"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	12	10005715	Unreliable
	"Adult T-cell leukaemia - Malignant neoplasms"	"C91.5"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	14	9587365	Unreliable
	"Adult T-cell leukaemia - Malignant neoplasms"	"C91.5"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	15	9447846	Unreliable
	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	309	10157924	3.0
	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	279	10211937	2.7
	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	295	10053779	2.9
	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	270	10005715	2.7
	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	249	9946279	2.5
	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	345	9587365	3.6
	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	372	9637462	3.9
	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	384	9488430	4.0
	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	370	9447846	3.9
	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	354	9390497	3.8
	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	36	10157924	0.4
	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	30	10211937	0.3
	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	21	10053779	0.2
	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	28	10005715	0.3
	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	24	9946279	0.2
	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	36	9587365	0.4
	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	24	9637462	0.2
	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	40	9488430	0.4
	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	24	9447846	0.3
	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	42	9390497	0.4
	"Other myeloid leukaemia - Malignant neoplasms"	"C92.7"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	10	10157924	Unreliable
	"Other myeloid leukaemia - Malignant neoplasms"	"C92.7"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	11	10211937	Unreliable
	"Other myeloid leukaemia - Malignant neoplasms"	"C92.7"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	19	10053779	Unreliable
	"Other myeloid leukaemia - Malignant neoplasms"	"C92.7"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	14	10005715	Unreliable
	"Other myeloid leukaemia - Malignant neoplasms"	"C92.7"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	12	9946279	Unreliable
	"Other myeloid leukaemia - Malignant neoplasms"	"C92.7"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	13	9587365	Unreliable
	"Other myeloid leukaemia - Malignant neoplasms"	"C92.7"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	16	9637462	Unreliable
	"Other myeloid leukaemia - Malignant neoplasms"	"C92.7"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	25	9488430	0.3
	"Other myeloid leukaemia - Malignant neoplasms"	"C92.7"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	18	9447846	Unreliable
	"Other myeloid leukaemia - Malignant neoplasms"	"C92.7"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	17	9390497	Unreliable
	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	51	10157924	0.5
	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	32	10211937	0.3
	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	43	10053779	0.4
	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	30	10005715	0.3
	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	30	9946279	0.3
	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	43	9587365	0.4
	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	41	9637462	0.4
	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	51	9488430	0.5
	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	43	9447846	0.5
	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	45	9390497	0.5
	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	60	10157924	0.6
	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	61	10211937	0.6
	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	53	10053779	0.5
	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	50	10005715	0.5
	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	51	9946279	0.5
	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	66	9587365	0.7
	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	69	9637462	0.7
	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	59	9488430	0.6
	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	72	9447846	0.8
	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	63	9390497	0.7
	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	117	10157924	1.2
	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	84	10211937	0.8
	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	105	10053779	1.0
	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	133	10005715	1.3
	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	117	9946279	1.2
	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	133	9587365	1.4
	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	122	9637462	1.3
	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	143	9488430	1.5
	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	159	9447846	1.7
	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	131	9390497	1.4
	"Cerebral meninges - Benign neoplasms"	"D32.0"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	13	10157924	Unreliable
	"Cerebral meninges - Benign neoplasms"	"D32.0"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	14	10005715	Unreliable
	"Cerebral meninges - Benign neoplasms"	"D32.0"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	17	9946279	Unreliable
	"Meninges, unspecified - Benign neoplasms"	"D32.9"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	17	10157924	Unreliable
	"Meninges, unspecified - Benign neoplasms"	"D32.9"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	22	10211937	0.2
	"Meninges, unspecified - Benign neoplasms"	"D32.9"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	19	10053779	Unreliable
	"Meninges, unspecified - Benign neoplasms"	"D32.9"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	20	10005715	0.2
	"Meninges, unspecified - Benign neoplasms"	"D32.9"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	19	9946279	Unreliable
	"Meninges, unspecified - Benign neoplasms"	"D32.9"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	23	9587365	0.2
	"Meninges, unspecified - Benign neoplasms"	"D32.9"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	13	9637462	Unreliable
	"Meninges, unspecified - Benign neoplasms"	"D32.9"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	13	9488430	Unreliable
	"Meninges, unspecified - Benign neoplasms"	"D32.9"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	15	9447846	Unreliable
	"Meninges, unspecified - Benign neoplasms"	"D32.9"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	14	9390497	Unreliable
	"Other digestive organs - Uncertain neoplasms"	"D37.7"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	10	10211937	Unreliable
	"Other digestive organs - Uncertain neoplasms"	"D37.7"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	14	10005715	Unreliable
	"Other digestive organs - Uncertain neoplasms"	"D37.7"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	10	9946279	Unreliable
	"Other digestive organs - Uncertain neoplasms"	"D37.7"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	11	9637462	Unreliable
	"Other digestive organs - Uncertain neoplasms"	"D37.7"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	12	9488430	Unreliable
	"Other digestive organs - Uncertain neoplasms"	"D37.7"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	11	9447846	Unreliable
	"Other digestive organs - Uncertain neoplasms"	"D37.7"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	10	9390497	Unreliable
	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	17	10157924	Unreliable
	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	23	10211937	0.2
	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	25	10053779	0.2
	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	28	10005715	0.3
	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	28	9946279	0.3
	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	19	9587365	Unreliable
	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	14	9637462	Unreliable
	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	20	9488430	0.2
	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	20	9447846	0.2
	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	21	9390497	0.2
	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	64	10157924	0.6
	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	66	10211937	0.6
	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	56	10053779	0.6
	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	47	10005715	0.5
	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	53	9946279	0.5
	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	55	9587365	0.6
	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	58	9637462	0.6
	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	43	9488430	0.5
	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	40	9447846	0.4
	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	44	9390497	0.5
	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	158	10157924	1.6
	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	164	10211937	1.6
	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	165	10053779	1.6
	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	141	10005715	1.4
	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	153	9946279	1.5
	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	190	9587365	2.0
	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	209	9637462	2.2
	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	211	9488430	2.2
	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	211	9447846	2.2
	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	204	9390497	2.2
	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	21	10157924	0.2
	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	27	10211937	0.3
	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	41	10053779	0.4
	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	33	10005715	0.3
	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	30	9946279	0.3
	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	29	9587365	0.3
	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	35	9637462	0.4
	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	34	9488430	0.4
	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	42	9447846	0.4
	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	31	9390497	0.3
	"Connective and other soft tissue - Uncertain neoplasms"	"D48.1"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	10	10157924	Unreliable
	"Connective and other soft tissue - Uncertain neoplasms"	"D48.1"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	13	10211937	Unreliable
	"Connective and other soft tissue - Uncertain neoplasms"	"D48.1"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	14	10053779	Unreliable
	"Connective and other soft tissue - Uncertain neoplasms"	"D48.1"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	10	10005715	Unreliable
	"Connective and other soft tissue - Uncertain neoplasms"	"D48.1"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	11	9946279	Unreliable
	"Connective and other soft tissue - Uncertain neoplasms"	"D48.1"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	14	9587365	Unreliable
	"Connective and other soft tissue - Uncertain neoplasms"	"D48.1"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	15	9488430	Unreliable
	"Connective and other soft tissue - Uncertain neoplasms"	"D48.1"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	12	9447846	Unreliable
	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	15	10157924	Unreliable
	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	11	10211937	Unreliable
	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	18	10053779	Unreliable
	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	17	10005715	Unreliable
	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	24	9946279	0.2
	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	16	9587365	Unreliable
	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	15	9637462	Unreliable
	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	15	9488430	Unreliable
	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	18	9447846	Unreliable
	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	19	9390497	Unreliable
	"Sickle-cell anaemia without crisis"	"D57.1"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	16	10157924	Unreliable
	"Sickle-cell anaemia without crisis"	"D57.1"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	17	10211937	Unreliable
	"Sickle-cell anaemia without crisis"	"D57.1"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	14	10053779	Unreliable
	"Sickle-cell anaemia without crisis"	"D57.1"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	24	10005715	0.2
	"Sickle-cell anaemia without crisis"	"D57.1"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	22	9946279	0.2
	"Sickle-cell anaemia without crisis"	"D57.1"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	10	9587365	Unreliable
	"Sickle-cell anaemia without crisis"	"D57.1"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	14	9637462	Unreliable
	"Sickle-cell anaemia without crisis"	"D57.1"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	21	9488430	0.2
	"Sickle-cell anaemia without crisis"	"D57.1"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	10	9447846	Unreliable
	"Sickle-cell anaemia without crisis"	"D57.1"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	12	9390497	Unreliable
	"Aplastic anaemia, unspecified"	"D61.9"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	19	10157924	Unreliable
	"Aplastic anaemia, unspecified"	"D61.9"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	27	10211937	0.3
	"Aplastic anaemia, unspecified"	"D61.9"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	22	10053779	0.2
	"Aplastic anaemia, unspecified"	"D61.9"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	22	10005715	0.2
	"Aplastic anaemia, unspecified"	"D61.9"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	17	9946279	Unreliable
	"Aplastic anaemia, unspecified"	"D61.9"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	20	9587365	0.2
	"Aplastic anaemia, unspecified"	"D61.9"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	28	9637462	0.3
	"Aplastic anaemia, unspecified"	"D61.9"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	12	9488430	Unreliable
	"Aplastic anaemia, unspecified"	"D61.9"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	12	9447846	Unreliable
	"Aplastic anaemia, unspecified"	"D61.9"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	19	9390497	Unreliable
	"Acute posthaemorrhagic anaemia"	"D62"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	10	10157924	Unreliable
	"Acute posthaemorrhagic anaemia"	"D62"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	19	10211937	Unreliable
	"Acute posthaemorrhagic anaemia"	"D62"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	14	10053779	Unreliable
	"Acute posthaemorrhagic anaemia"	"D62"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	16	10005715	Unreliable
	"Acute posthaemorrhagic anaemia"	"D62"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	13	9946279	Unreliable
	"Acute posthaemorrhagic anaemia"	"D62"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	15	9637462	Unreliable
	"Acute posthaemorrhagic anaemia"	"D62"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	15	9488430	Unreliable
	"Acute posthaemorrhagic anaemia"	"D62"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	10	9447846	Unreliable
	"Acute posthaemorrhagic anaemia"	"D62"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	12	9390497	Unreliable
	"Anaemia, unspecified"	"D64.9"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	88	10157924	0.9
	"Anaemia, unspecified"	"D64.9"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	68	10211937	0.7
	"Anaemia, unspecified"	"D64.9"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	71	10053779	0.7
	"Anaemia, unspecified"	"D64.9"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	55	10005715	0.5
	"Anaemia, unspecified"	"D64.9"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	57	9946279	0.6
	"Anaemia, unspecified"	"D64.9"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	50	9587365	0.5
	"Anaemia, unspecified"	"D64.9"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	56	9637462	0.6
	"Anaemia, unspecified"	"D64.9"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	42	9488430	0.4
	"Anaemia, unspecified"	"D64.9"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	38	9447846	0.4
	"Anaemia, unspecified"	"D64.9"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	47	9390497	0.5
	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	13	10157924	Unreliable
	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	20	10053779	0.2
	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	21	10005715	0.2
	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	21	9946279	0.2
	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	10	9587365	Unreliable
	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	12	9637462	Unreliable
	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	19	9488430	Unreliable
	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	13	9447846	Unreliable
