"Notes"	"Census Region"	"Census Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	8849	30054832	29.4
	"Census Region 3: South"	"CENS-R3"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	30988	129787249	23.9
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	239	1190870	20.1
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	291	3966933	7.3
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	9974	26162528	38.1
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	27546	116215337	23.7
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	481	1145819	42.0
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	769	3255967	23.6
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	17106	21681707	78.9
	"Census Region 3: South"	"CENS-R3"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	70874	109108110	65.0
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	406	653593	62.1
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	679	2286436	29.7
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	15696	15677387	100.1
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	61697	85613632	72.1
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	757	600005	126.2
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	1202	1823043	65.9
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	21382	11667116	183.3
	"Census Region 3: South"	"CENS-R3"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	124443	75248066	165.4
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	627	300786	208.5
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	1142	965038	118.3
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	23075	8336679	276.8
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	143779	53893370	266.8
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	789	226863	347.8
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	1383	728640	189.8
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	20775	4925237	421.8
	"Census Region 3: South"	"CENS-R3"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	193143	40017319	482.6
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	769	107024	718.5
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	1286	287601	447.1
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	28960	3455978	838.0
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	259216	23286456	1113.2
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	439	56635	775.1
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	979	172816	566.5
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	13140	1349494	973.7
	"Census Region 3: South"	"CENS-R3"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	174275	11763039	1481.5
	"Census Region 3: South"	"CENS-R3"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	22	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"5-14 years"	"5-14"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	16	87930569	Unreliable
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	30	84777292	0.0
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	18	12270170	Unreliable
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	25	7772227	0.3
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	92	91241026	0.1
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	20	14674352	0.1
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	36	6675303	0.5
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	224	86078604	0.3
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	25	3256082	0.8
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	134	13841334	1.0
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	109	7201283	1.5
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	833	92434314	0.9
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	43	2791778	1.5
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	108	14444657	0.7
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	281	6150680	4.6
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	1202	85324129	1.4
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	99	2806790	3.5
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	650	12719668	5.1
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	560	6474853	8.6
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	4731	89111557	5.3
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	106	2463488	4.3
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	392	12989759	3.0
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	941	5561154	16.9
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	5019	84344339	6.0
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	371	2370464	15.7
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	1857	11134945	16.7
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	1852	5690434	32.5
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	18013	85101839	21.2
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	365	1748655	20.9
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	1165	10027657	11.6
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	2043	4120310	49.6
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	14112	71415061	19.8
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	731	1602125	45.6
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	3271	8279050	39.5
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	3710	3926764	94.5
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	40148	68787692	58.4
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	533	942586	56.5
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	2846	6556602	43.4
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	3377	2454050	137.6
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	33611	48697973	69.0
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	1071	807066	132.7
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	5387	5116148	105.3
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	4859	2065959	235.2
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	69948	44074459	158.7
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	825	432011	191.0
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	6622	3675517	180.2
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	5039	1305467	386.0
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	85072	29988649	283.7
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	1097	316032	347.1
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	8475	2625430	322.8
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	5233	905134	578.1
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	118728	23343193	508.6
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	894	150891	592.5
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	11480	1522673	753.9
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	6919	525583	1316.4
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	177321	13883712	1277.2
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic heart disease"	"I25.1"	726	83717	867.2
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	9544	893897	1067.7
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	3419	245737	1391.3
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	130749	7589515	1722.8
	"Census Region 4: West"	"CENS-R4"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	24	Not Applicable	Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"ICD-10 Codes: I25.1 (Atherosclerotic heart disease)"
"Group By: Census Region; Ten-Year Age Groups; Gender; Race; Cause of death"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: May 3, 2022 11:35:06 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files, 1999-2020, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on May 3, 2022 11:35:06 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/ucd.html#Georgia-Reporting-Anomalies."
"3. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#New-Jersey-Reporting-Anomalies."
"4. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#California-Reporting-Anomalies."
"5. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"6. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"7. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"8. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Racial Differences."
"9. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"10. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
"11. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"12. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March"
"4, 2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"13. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#ICD-10 Changes."
