"Notes"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Peripheral nerves of pelvis - Malignant neoplasms"	"C47.5"	"2012"	"2012"	3	313914040	Unreliable
	"Peripheral nerves of pelvis - Malignant neoplasms"	"C47.5"	"2013"	"2013"	2	316128839	Unreliable
	"Peripheral nerves of pelvis - Malignant neoplasms"	"C47.5"	"2014"	"2014"	2	318857056	Unreliable
	"Peripheral nerves of pelvis - Malignant neoplasms"	"C47.5"	"2016"	"2016"	2	323127513	Unreliable
	"Peripheral nerves of pelvis - Malignant neoplasms"	"C47.5"	"2017"	"2017"	3	325719178	Unreliable
	"Peripheral nerves of pelvis - Malignant neoplasms"	"C47.5"	"2018"	"2018"	3	327167434	Unreliable
	"Peripheral nerves of pelvis - Malignant neoplasms"	"C47.5"	"2019"	"2019"	5	328239523	Unreliable
	"Peripheral nerves of pelvis - Malignant neoplasms"	"C47.5"	"2020 "	"2020"	2	329484123	Unreliable
	"Peripheral nerves of trunk, unspecified - Malignant neoplasms"	"C47.6"	"2015"	"2015"	1	321418820	Unreliable
	"Peripheral nerves of trunk, unspecified - Malignant neoplasms"	"C47.6"	"2017"	"2017"	1	325719178	Unreliable
	"Peripheral nerves of trunk, unspecified - Malignant neoplasms"	"C47.6"	"2018"	"2018"	1	327167434	Unreliable
	"Peripheral nerves of trunk, unspecified - Malignant neoplasms"	"C47.6"	"2019"	"2019"	1	328239523	Unreliable
	"Overlapping lesion of peripheral nerves and autonomic nervous system - Malignant neoplasms"	"C47.8"	"2011"	"2011"	1	311591917	Unreliable
	"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms"	"C47.9"	"2011"	"2011"	76	311591917	0.0
	"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms"	"C47.9"	"2012"	"2012"	62	313914040	0.0
	"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms"	"C47.9"	"2013"	"2013"	79	316128839	0.0
	"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms"	"C47.9"	"2014"	"2014"	67	318857056	0.0
	"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms"	"C47.9"	"2015"	"2015"	78	321418820	0.0
	"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms"	"C47.9"	"2016"	"2016"	90	323127513	0.0
	"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms"	"C47.9"	"2017"	"2017"	93	325719178	0.0
	"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms"	"C47.9"	"2018"	"2018"	77	327167434	0.0
	"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms"	"C47.9"	"2019"	"2019"	86	328239523	0.0
	"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms"	"C47.9"	"2020 "	"2020"	83	329484123	0.0
	"Retroperitoneum - Malignant neoplasms"	"C48.0"	"2011"	"2011"	219	311591917	0.1
	"Retroperitoneum - Malignant neoplasms"	"C48.0"	"2012"	"2012"	207	313914040	0.1
	"Retroperitoneum - Malignant neoplasms"	"C48.0"	"2013"	"2013"	193	316128839	0.1
	"Retroperitoneum - Malignant neoplasms"	"C48.0"	"2014"	"2014"	244	318857056	0.1
	"Retroperitoneum - Malignant neoplasms"	"C48.0"	"2015"	"2015"	238	321418820	0.1
	"Retroperitoneum - Malignant neoplasms"	"C48.0"	"2016"	"2016"	286	323127513	0.1
	"Retroperitoneum - Malignant neoplasms"	"C48.0"	"2017"	"2017"	289	325719178	0.1
	"Retroperitoneum - Malignant neoplasms"	"C48.0"	"2018"	"2018"	319	327167434	0.1
	"Retroperitoneum - Malignant neoplasms"	"C48.0"	"2019"	"2019"	359	328239523	0.1
	"Retroperitoneum - Malignant neoplasms"	"C48.0"	"2020 "	"2020"	394	329484123	0.1
	"Specified parts of peritoneum - Malignant neoplasms"	"C48.1"	"2011"	"2011"	43	311591917	0.0
	"Specified parts of peritoneum - Malignant neoplasms"	"C48.1"	"2012"	"2012"	40	313914040	0.0
	"Specified parts of peritoneum - Malignant neoplasms"	"C48.1"	"2013"	"2013"	43	316128839	0.0
	"Specified parts of peritoneum - Malignant neoplasms"	"C48.1"	"2014"	"2014"	52	318857056	0.0
	"Specified parts of peritoneum - Malignant neoplasms"	"C48.1"	"2015"	"2015"	46	321418820	0.0
	"Specified parts of peritoneum - Malignant neoplasms"	"C48.1"	"2016"	"2016"	59	323127513	0.0
	"Specified parts of peritoneum - Malignant neoplasms"	"C48.1"	"2017"	"2017"	51	325719178	0.0
	"Specified parts of peritoneum - Malignant neoplasms"	"C48.1"	"2018"	"2018"	56	327167434	0.0
	"Specified parts of peritoneum - Malignant neoplasms"	"C48.1"	"2019"	"2019"	53	328239523	0.0
	"Specified parts of peritoneum - Malignant neoplasms"	"C48.1"	"2020 "	"2020"	64	329484123	0.0
	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	"2011"	"2011"	764	311591917	0.2
	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	"2012"	"2012"	710	313914040	0.2
	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	"2013"	"2013"	707	316128839	0.2
	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	"2014"	"2014"	741	318857056	0.2
	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	"2015"	"2015"	754	321418820	0.2
	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	"2016"	"2016"	881	323127513	0.3
	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	"2017"	"2017"	798	325719178	0.2
	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	"2018"	"2018"	862	327167434	0.3
	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	"2019"	"2019"	847	328239523	0.3
	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	"2020 "	"2020"	933	329484123	0.3
	"Overlapping lesion of retroperitoneum and peritoneum - Malignant neoplasms"	"C48.8"	"2013"	"2013"	1	316128839	Unreliable
	"Overlapping lesion of retroperitoneum and peritoneum - Malignant neoplasms"	"C48.8"	"2016"	"2016"	2	323127513	Unreliable
	"Overlapping lesion of retroperitoneum and peritoneum - Malignant neoplasms"	"C48.8"	"2020 "	"2020"	1	329484123	Unreliable
	"Connective and soft tissue of head, face and neck - Malignant neoplasms"	"C49.0"	"2011"	"2011"	74	311591917	0.0
	"Connective and soft tissue of head, face and neck - Malignant neoplasms"	"C49.0"	"2012"	"2012"	86	313914040	0.0
	"Connective and soft tissue of head, face and neck - Malignant neoplasms"	"C49.0"	"2013"	"2013"	96	316128839	0.0
	"Connective and soft tissue of head, face and neck - Malignant neoplasms"	"C49.0"	"2014"	"2014"	110	318857056	0.0
	"Connective and soft tissue of head, face and neck - Malignant neoplasms"	"C49.0"	"2015"	"2015"	144	321418820	0.0
	"Connective and soft tissue of head, face and neck - Malignant neoplasms"	"C49.0"	"2016"	"2016"	117	323127513	0.0
	"Connective and soft tissue of head, face and neck - Malignant neoplasms"	"C49.0"	"2017"	"2017"	118	325719178	0.0
	"Connective and soft tissue of head, face and neck - Malignant neoplasms"	"C49.0"	"2018"	"2018"	118	327167434	0.0
	"Connective and soft tissue of head, face and neck - Malignant neoplasms"	"C49.0"	"2019"	"2019"	125	328239523	0.0
	"Connective and soft tissue of head, face and neck - Malignant neoplasms"	"C49.0"	"2020 "	"2020"	156	329484123	0.0
	"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms"	"C49.1"	"2011"	"2011"	50	311591917	0.0
	"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms"	"C49.1"	"2012"	"2012"	41	313914040	0.0
	"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms"	"C49.1"	"2013"	"2013"	49	316128839	0.0
	"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms"	"C49.1"	"2014"	"2014"	56	318857056	0.0
	"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms"	"C49.1"	"2015"	"2015"	53	321418820	0.0
	"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms"	"C49.1"	"2016"	"2016"	55	323127513	0.0
	"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms"	"C49.1"	"2017"	"2017"	62	325719178	0.0
	"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms"	"C49.1"	"2018"	"2018"	77	327167434	0.0
	"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms"	"C49.1"	"2019"	"2019"	74	328239523	0.0
	"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms"	"C49.1"	"2020 "	"2020"	65	329484123	0.0
	"Connective and soft tissue of lower limb, including hip - Malignant neoplasms"	"C49.2"	"2011"	"2011"	265	311591917	0.1
	"Connective and soft tissue of lower limb, including hip - Malignant neoplasms"	"C49.2"	"2012"	"2012"	232	313914040	0.1
	"Connective and soft tissue of lower limb, including hip - Malignant neoplasms"	"C49.2"	"2013"	"2013"	233	316128839	0.1
	"Connective and soft tissue of lower limb, including hip - Malignant neoplasms"	"C49.2"	"2014"	"2014"	257	318857056	0.1
	"Connective and soft tissue of lower limb, including hip - Malignant neoplasms"	"C49.2"	"2015"	"2015"	270	321418820	0.1
	"Connective and soft tissue of lower limb, including hip - Malignant neoplasms"	"C49.2"	"2016"	"2016"	300	323127513	0.1
	"Connective and soft tissue of lower limb, including hip - Malignant neoplasms"	"C49.2"	"2017"	"2017"	296	325719178	0.1
	"Connective and soft tissue of lower limb, including hip - Malignant neoplasms"	"C49.2"	"2018"	"2018"	358	327167434	0.1
	"Connective and soft tissue of lower limb, including hip - Malignant neoplasms"	"C49.2"	"2019"	"2019"	327	328239523	0.1
	"Connective and soft tissue of lower limb, including hip - Malignant neoplasms"	"C49.2"	"2020 "	"2020"	358	329484123	0.1
	"Connective and soft tissue of thorax - Malignant neoplasms"	"C49.3"	"2011"	"2011"	90	311591917	0.0
	"Connective and soft tissue of thorax - Malignant neoplasms"	"C49.3"	"2012"	"2012"	86	313914040	0.0
	"Connective and soft tissue of thorax - Malignant neoplasms"	"C49.3"	"2013"	"2013"	88	316128839	0.0
	"Connective and soft tissue of thorax - Malignant neoplasms"	"C49.3"	"2014"	"2014"	85	318857056	0.0
	"Connective and soft tissue of thorax - Malignant neoplasms"	"C49.3"	"2015"	"2015"	76	321418820	0.0
	"Connective and soft tissue of thorax - Malignant neoplasms"	"C49.3"	"2016"	"2016"	82	323127513	0.0
	"Connective and soft tissue of thorax - Malignant neoplasms"	"C49.3"	"2017"	"2017"	95	325719178	0.0
	"Connective and soft tissue of thorax - Malignant neoplasms"	"C49.3"	"2018"	"2018"	84	327167434	0.0
	"Connective and soft tissue of thorax - Malignant neoplasms"	"C49.3"	"2019"	"2019"	84	328239523	0.0
	"Connective and soft tissue of thorax - Malignant neoplasms"	"C49.3"	"2020 "	"2020"	83	329484123	0.0
	"Connective and soft tissue of abdomen - Malignant neoplasms"	"C49.4"	"2011"	"2011"	365	311591917	0.1
	"Connective and soft tissue of abdomen - Malignant neoplasms"	"C49.4"	"2012"	"2012"	342	313914040	0.1
	"Connective and soft tissue of abdomen - Malignant neoplasms"	"C49.4"	"2013"	"2013"	341	316128839	0.1
	"Connective and soft tissue of abdomen - Malignant neoplasms"	"C49.4"	"2014"	"2014"	326	318857056	0.1
	"Connective and soft tissue of abdomen - Malignant neoplasms"	"C49.4"	"2015"	"2015"	375	321418820	0.1
	"Connective and soft tissue of abdomen - Malignant neoplasms"	"C49.4"	"2016"	"2016"	420	323127513	0.1
	"Connective and soft tissue of abdomen - Malignant neoplasms"	"C49.4"	"2017"	"2017"	424	325719178	0.1
	"Connective and soft tissue of abdomen - Malignant neoplasms"	"C49.4"	"2018"	"2018"	418	327167434	0.1
	"Connective and soft tissue of abdomen - Malignant neoplasms"	"C49.4"	"2019"	"2019"	448	328239523	0.1
	"Connective and soft tissue of abdomen - Malignant neoplasms"	"C49.4"	"2020 "	"2020"	493	329484123	0.1
	"Connective and soft tissue of pelvis - Malignant neoplasms"	"C49.5"	"2011"	"2011"	96	311591917	0.0
	"Connective and soft tissue of pelvis - Malignant neoplasms"	"C49.5"	"2012"	"2012"	110	313914040	0.0
	"Connective and soft tissue of pelvis - Malignant neoplasms"	"C49.5"	"2013"	"2013"	124	316128839	0.0
	"Connective and soft tissue of pelvis - Malignant neoplasms"	"C49.5"	"2014"	"2014"	138	318857056	0.0
	"Connective and soft tissue of pelvis - Malignant neoplasms"	"C49.5"	"2015"	"2015"	92	321418820	0.0
	"Connective and soft tissue of pelvis - Malignant neoplasms"	"C49.5"	"2016"	"2016"	112	323127513	0.0
	"Connective and soft tissue of pelvis - Malignant neoplasms"	"C49.5"	"2017"	"2017"	143	325719178	0.0
	"Connective and soft tissue of pelvis - Malignant neoplasms"	"C49.5"	"2018"	"2018"	135	327167434	0.0
	"Connective and soft tissue of pelvis - Malignant neoplasms"	"C49.5"	"2019"	"2019"	145	328239523	0.0
	"Connective and soft tissue of pelvis - Malignant neoplasms"	"C49.5"	"2020 "	"2020"	147	329484123	0.0
	"Connective and soft tissue of trunk, unspecified - Malignant neoplasms"	"C49.6"	"2011"	"2011"	13	311591917	Unreliable
	"Connective and soft tissue of trunk, unspecified - Malignant neoplasms"	"C49.6"	"2012"	"2012"	10	313914040	Unreliable
	"Connective and soft tissue of trunk, unspecified - Malignant neoplasms"	"C49.6"	"2013"	"2013"	9	316128839	Unreliable
	"Connective and soft tissue of trunk, unspecified - Malignant neoplasms"	"C49.6"	"2014"	"2014"	11	318857056	Unreliable
	"Connective and soft tissue of trunk, unspecified - Malignant neoplasms"	"C49.6"	"2015"	"2015"	13	321418820	Unreliable
	"Connective and soft tissue of trunk, unspecified - Malignant neoplasms"	"C49.6"	"2016"	"2016"	19	323127513	Unreliable
	"Connective and soft tissue of trunk, unspecified - Malignant neoplasms"	"C49.6"	"2017"	"2017"	19	325719178	Unreliable
	"Connective and soft tissue of trunk, unspecified - Malignant neoplasms"	"C49.6"	"2018"	"2018"	11	327167434	Unreliable
	"Connective and soft tissue of trunk, unspecified - Malignant neoplasms"	"C49.6"	"2019"	"2019"	7	328239523	Unreliable
	"Connective and soft tissue of trunk, unspecified - Malignant neoplasms"	"C49.6"	"2020 "	"2020"	18	329484123	Unreliable
	"Overlapping lesion of connective and soft tissue - Malignant neoplasms"	"C49.8"	"2013"	"2013"	3	316128839	Unreliable
	"Overlapping lesion of connective and soft tissue - Malignant neoplasms"	"C49.8"	"2017"	"2017"	1	325719178	Unreliable
	"Overlapping lesion of connective and soft tissue - Malignant neoplasms"	"C49.8"	"2018"	"2018"	3	327167434	Unreliable
	"Overlapping lesion of connective and soft tissue - Malignant neoplasms"	"C49.8"	"2019"	"2019"	2	328239523	Unreliable
	"Overlapping lesion of connective and soft tissue - Malignant neoplasms"	"C49.8"	"2020 "	"2020"	2	329484123	Unreliable
	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	"2011"	"2011"	3310	311591917	1.1
	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	"2012"	"2012"	3523	313914040	1.1
	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	"2013"	"2013"	3447	316128839	1.1
	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	"2014"	"2014"	3636	318857056	1.1
	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	"2015"	"2015"	3611	321418820	1.1
	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	"2016"	"2016"	3546	323127513	1.1
	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	"2017"	"2017"	3631	325719178	1.1
	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	"2018"	"2018"	3693	327167434	1.1
	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	"2019"	"2019"	3589	328239523	1.1
	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	"2020 "	"2020"	3531	329484123	1.1
	"Nipple and areola - Malignant neoplasms"	"C50.0"	"2011"	"2011"	8	311591917	Unreliable
	"Nipple and areola - Malignant neoplasms"	"C50.0"	"2012"	"2012"	4	313914040	Unreliable
	"Nipple and areola - Malignant neoplasms"	"C50.0"	"2013"	"2013"	8	316128839	Unreliable
	"Nipple and areola - Malignant neoplasms"	"C50.0"	"2014"	"2014"	10	318857056	Unreliable
	"Nipple and areola - Malignant neoplasms"	"C50.0"	"2015"	"2015"	15	321418820	Unreliable
	"Nipple and areola - Malignant neoplasms"	"C50.0"	"2016"	"2016"	28	323127513	0.0
	"Nipple and areola - Malignant neoplasms"	"C50.0"	"2017"	"2017"	34	325719178	0.0
	"Nipple and areola - Malignant neoplasms"	"C50.0"	"2018"	"2018"	36	327167434	0.0
	"Nipple and areola - Malignant neoplasms"	"C50.0"	"2019"	"2019"	35	328239523	0.0
	"Nipple and areola - Malignant neoplasms"	"C50.0"	"2020 "	"2020"	72	329484123	0.0
	"Central portion of breast - Malignant neoplasms"	"C50.1"	"2014"	"2014"	1	318857056	Unreliable
	"Central portion of breast - Malignant neoplasms"	"C50.1"	"2015"	"2015"	2	321418820	Unreliable
	"Central portion of breast - Malignant neoplasms"	"C50.1"	"2016"	"2016"	21	323127513	0.0
	"Central portion of breast - Malignant neoplasms"	"C50.1"	"2017"	"2017"	21	325719178	0.0
	"Central portion of breast - Malignant neoplasms"	"C50.1"	"2018"	"2018"	19	327167434	Unreliable
	"Central portion of breast - Malignant neoplasms"	"C50.1"	"2019"	"2019"	27	328239523	0.0
	"Central portion of breast - Malignant neoplasms"	"C50.1"	"2020 "	"2020"	46	329484123	0.0
	"Upper-inner quadrant of breast - Malignant neoplasms"	"C50.2"	"2011"	"2011"	1	311591917	Unreliable
	"Upper-inner quadrant of breast - Malignant neoplasms"	"C50.2"	"2013"	"2013"	1	316128839	Unreliable
	"Upper-inner quadrant of breast - Malignant neoplasms"	"C50.2"	"2015"	"2015"	1	321418820	Unreliable
	"Upper-inner quadrant of breast - Malignant neoplasms"	"C50.2"	"2016"	"2016"	8	323127513	Unreliable
	"Upper-inner quadrant of breast - Malignant neoplasms"	"C50.2"	"2017"	"2017"	7	325719178	Unreliable
	"Upper-inner quadrant of breast - Malignant neoplasms"	"C50.2"	"2018"	"2018"	9	327167434	Unreliable
	"Upper-inner quadrant of breast - Malignant neoplasms"	"C50.2"	"2019"	"2019"	22	328239523	0.0
	"Upper-inner quadrant of breast - Malignant neoplasms"	"C50.2"	"2020 "	"2020"	21	329484123	0.0
	"Lower-inner quadrant of breast - Malignant neoplasms"	"C50.3"	"2014"	"2014"	1	318857056	Unreliable
	"Lower-inner quadrant of breast - Malignant neoplasms"	"C50.3"	"2016"	"2016"	1	323127513	Unreliable
	"Lower-inner quadrant of breast - Malignant neoplasms"	"C50.3"	"2017"	"2017"	8	325719178	Unreliable
	"Lower-inner quadrant of breast - Malignant neoplasms"	"C50.3"	"2018"	"2018"	5	327167434	Unreliable
	"Lower-inner quadrant of breast - Malignant neoplasms"	"C50.3"	"2019"	"2019"	12	328239523	Unreliable
	"Lower-inner quadrant of breast - Malignant neoplasms"	"C50.3"	"2020 "	"2020"	15	329484123	Unreliable
	"Upper-outer quadrant of breast - Malignant neoplasms"	"C50.4"	"2013"	"2013"	1	316128839	Unreliable
	"Upper-outer quadrant of breast - Malignant neoplasms"	"C50.4"	"2015"	"2015"	2	321418820	Unreliable
	"Upper-outer quadrant of breast - Malignant neoplasms"	"C50.4"	"2016"	"2016"	24	323127513	0.0
	"Upper-outer quadrant of breast - Malignant neoplasms"	"C50.4"	"2017"	"2017"	33	325719178	0.0
	"Upper-outer quadrant of breast - Malignant neoplasms"	"C50.4"	"2018"	"2018"	44	327167434	0.0
	"Upper-outer quadrant of breast - Malignant neoplasms"	"C50.4"	"2019"	"2019"	52	328239523	0.0
	"Upper-outer quadrant of breast - Malignant neoplasms"	"C50.4"	"2020 "	"2020"	111	329484123	0.0
	"Lower-outer quadrant of breast - Malignant neoplasms"	"C50.5"	"2015"	"2015"	1	321418820	Unreliable
	"Lower-outer quadrant of breast - Malignant neoplasms"	"C50.5"	"2016"	"2016"	6	323127513	Unreliable
	"Lower-outer quadrant of breast - Malignant neoplasms"	"C50.5"	"2017"	"2017"	4	325719178	Unreliable
	"Lower-outer quadrant of breast - Malignant neoplasms"	"C50.5"	"2018"	"2018"	8	327167434	Unreliable
	"Lower-outer quadrant of breast - Malignant neoplasms"	"C50.5"	"2019"	"2019"	14	328239523	Unreliable
	"Lower-outer quadrant of breast - Malignant neoplasms"	"C50.5"	"2020 "	"2020"	9	329484123	Unreliable
	"Axillary tail of breast - Malignant neoplasms"	"C50.6"	"2012"	"2012"	1	313914040	Unreliable
	"Axillary tail of breast - Malignant neoplasms"	"C50.6"	"2013"	"2013"	1	316128839	Unreliable
	"Axillary tail of breast - Malignant neoplasms"	"C50.6"	"2014"	"2014"	1	318857056	Unreliable
	"Axillary tail of breast - Malignant neoplasms"	"C50.6"	"2015"	"2015"	2	321418820	Unreliable
	"Axillary tail of breast - Malignant neoplasms"	"C50.6"	"2016"	"2016"	3	323127513	Unreliable
	"Axillary tail of breast - Malignant neoplasms"	"C50.6"	"2017"	"2017"	2	325719178	Unreliable
	"Axillary tail of breast - Malignant neoplasms"	"C50.6"	"2018"	"2018"	4	327167434	Unreliable
	"Axillary tail of breast - Malignant neoplasms"	"C50.6"	"2019"	"2019"	2	328239523	Unreliable
	"Axillary tail of breast - Malignant neoplasms"	"C50.6"	"2020 "	"2020"	11	329484123	Unreliable
	"Overlapping lesion of breast - Malignant neoplasms"	"C50.8"	"2013"	"2013"	1	316128839	Unreliable
	"Overlapping lesion of breast - Malignant neoplasms"	"C50.8"	"2015"	"2015"	1	321418820	Unreliable
	"Overlapping lesion of breast - Malignant neoplasms"	"C50.8"	"2016"	"2016"	5	323127513	Unreliable
	"Overlapping lesion of breast - Malignant neoplasms"	"C50.8"	"2017"	"2017"	12	325719178	Unreliable
	"Overlapping lesion of breast - Malignant neoplasms"	"C50.8"	"2018"	"2018"	30	327167434	0.0
	"Overlapping lesion of breast - Malignant neoplasms"	"C50.8"	"2019"	"2019"	22	328239523	0.0
	"Overlapping lesion of breast - Malignant neoplasms"	"C50.8"	"2020 "	"2020"	38	329484123	0.0
	"Breast, unspecified - Malignant neoplasms"	"C50.9"	"2011"	"2011"	41365	311591917	13.3
	"Breast, unspecified - Malignant neoplasms"	"C50.9"	"2012"	"2012"	41552	313914040	13.2
	"Breast, unspecified - Malignant neoplasms"	"C50.9"	"2013"	"2013"	41313	316128839	13.1
	"Breast, unspecified - Malignant neoplasms"	"C50.9"	"2014"	"2014"	41665	318857056	13.1
	"Breast, unspecified - Malignant neoplasms"	"C50.9"	"2015"	"2015"	41963	321418820	13.1
	"Breast, unspecified - Malignant neoplasms"	"C50.9"	"2016"	"2016"	41856	323127513	13.0
	"Breast, unspecified - Malignant neoplasms"	"C50.9"	"2017"	"2017"	42389	325719178	13.0
	"Breast, unspecified - Malignant neoplasms"	"C50.9"	"2018"	"2018"	42795	327167434	13.1
	"Breast, unspecified - Malignant neoplasms"	"C50.9"	"2019"	"2019"	42562	328239523	13.0
	"Breast, unspecified - Malignant neoplasms"	"C50.9"	"2020 "	"2020"	42442	329484123	12.9
	"Labium majus - Malignant neoplasms"	"C51.0"	"2011"	"2011"	10	311591917	Unreliable
	"Labium majus - Malignant neoplasms"	"C51.0"	"2012"	"2012"	16	313914040	Unreliable
	"Labium majus - Malignant neoplasms"	"C51.0"	"2013"	"2013"	17	316128839	Unreliable
	"Labium majus - Malignant neoplasms"	"C51.0"	"2014"	"2014"	16	318857056	Unreliable
	"Labium majus - Malignant neoplasms"	"C51.0"	"2015"	"2015"	12	321418820	Unreliable
	"Labium majus - Malignant neoplasms"	"C51.0"	"2016"	"2016"	12	323127513	Unreliable
	"Labium majus - Malignant neoplasms"	"C51.0"	"2017"	"2017"	16	325719178	Unreliable
	"Labium majus - Malignant neoplasms"	"C51.0"	"2018"	"2018"	13	327167434	Unreliable
	"Labium majus - Malignant neoplasms"	"C51.0"	"2019"	"2019"	12	328239523	Unreliable
	"Labium majus - Malignant neoplasms"	"C51.0"	"2020 "	"2020"	16	329484123	Unreliable
	"Labium minus - Malignant neoplasms"	"C51.1"	"2013"	"2013"	1	316128839	Unreliable
	"Labium minus - Malignant neoplasms"	"C51.1"	"2015"	"2015"	1	321418820	Unreliable
	"Labium minus - Malignant neoplasms"	"C51.1"	"2016"	"2016"	2	323127513	Unreliable
	"Labium minus - Malignant neoplasms"	"C51.1"	"2017"	"2017"	2	325719178	Unreliable
	"Labium minus - Malignant neoplasms"	"C51.1"	"2018"	"2018"	1	327167434	Unreliable
	"Labium minus - Malignant neoplasms"	"C51.1"	"2019"	"2019"	2	328239523	Unreliable
	"Clitoris - Malignant neoplasms"	"C51.2"	"2011"	"2011"	2	311591917	Unreliable
	"Clitoris - Malignant neoplasms"	"C51.2"	"2012"	"2012"	1	313914040	Unreliable
	"Clitoris - Malignant neoplasms"	"C51.2"	"2013"	"2013"	1	316128839	Unreliable
	"Clitoris - Malignant neoplasms"	"C51.2"	"2014"	"2014"	3	318857056	Unreliable
	"Clitoris - Malignant neoplasms"	"C51.2"	"2015"	"2015"	1	321418820	Unreliable
	"Clitoris - Malignant neoplasms"	"C51.2"	"2017"	"2017"	1	325719178	Unreliable
	"Clitoris - Malignant neoplasms"	"C51.2"	"2018"	"2018"	1	327167434	Unreliable
	"Clitoris - Malignant neoplasms"	"C51.2"	"2019"	"2019"	2	328239523	Unreliable
	"Clitoris - Malignant neoplasms"	"C51.2"	"2020 "	"2020"	1	329484123	Unreliable
	"Overlapping lesion of vulva - Malignant neoplasms"	"C51.8"	"2017"	"2017"	1	325719178	Unreliable
	"Overlapping lesion of vulva - Malignant neoplasms"	"C51.8"	"2018"	"2018"	2	327167434	Unreliable
	"Overlapping lesion of vulva - Malignant neoplasms"	"C51.8"	"2019"	"2019"	2	328239523	Unreliable
	"Overlapping lesion of vulva - Malignant neoplasms"	"C51.8"	"2020 "	"2020"	4	329484123	Unreliable
	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	"2011"	"2011"	1010	311591917	0.3
	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	"2012"	"2012"	1017	313914040	0.3
	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	"2013"	"2013"	984	316128839	0.3
	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	"2014"	"2014"	1066	318857056	0.3
	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	"2015"	"2015"	1113	321418820	0.3
	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	"2016"	"2016"	1207	323127513	0.4
	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	"2017"	"2017"	1242	325719178	0.4
	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	"2018"	"2018"	1299	327167434	0.4
	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	"2019"	"2019"	1329	328239523	0.4
	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	"2020 "	"2020"	1445	329484123	0.4
	"Malignant neoplasm of vagina"	"C52"	"2011"	"2011"	428	311591917	0.1
	"Malignant neoplasm of vagina"	"C52"	"2012"	"2012"	429	313914040	0.1
	"Malignant neoplasm of vagina"	"C52"	"2013"	"2013"	437	316128839	0.1
	"Malignant neoplasm of vagina"	"C52"	"2014"	"2014"	430	318857056	0.1
	"Malignant neoplasm of vagina"	"C52"	"2015"	"2015"	438	321418820	0.1
	"Malignant neoplasm of vagina"	"C52"	"2016"	"2016"	386	323127513	0.1
	"Malignant neoplasm of vagina"	"C52"	"2017"	"2017"	411	325719178	0.1
